sample_id	accession_pat	accession_mat	sex
HG03704	HG03704_pat_hprc_r2_v1.0.1	HG03704_mat_hprc_r2_v1.0.1	female
HG03710	HG03710_pat_hprc_r2_v1.0.1	HG03710_mat_hprc_r2_v1.0.1	male
HG03742	HG03742_hap1_hprc_r2_v1.0.1	HG03742_hap2_hprc_r2_v1.0.1	male
HG03784	HG03784_hap1_hprc_r2_v1.0.1	HG03784_hap2_hprc_r2_v1.0.1	female
HG03804	HG03804_pat_hprc_r2_v1.0.1	HG03804_mat_hprc_r2_v1.0.1	female
HG03816	HG03816_pat_hprc_r2_v1.0.1	HG03816_mat_hprc_r2_v1.0.1	female
HG03831	HG03831_pat_hprc_r2_v1.0.1	HG03831_mat_hprc_r2_v1.0.1	female
HG03834	HG03834_pat_hprc_r2_v1.0.1	HG03834_mat_hprc_r2_v1.0.1	female
HG03874	HG03874_hap1_hprc_r2_v1.0.1	HG03874_hap2_hprc_r2_v1.0.1	female
HG03927	HG03927_pat_hprc_r2_v1.0.1	HG03927_mat_hprc_r2_v1.0.1	female
HG03942	HG03942_pat_hprc_r2_v1.0.1	HG03942_mat_hprc_r2_v1.0.1	male
HG04115	HG04115_pat_hprc_r2_v1.0.1	HG04115_mat_hprc_r2_v1.0.1	male
HG04157	HG04157_pat_hprc_r2_v1.0.1	HG04157_mat_hprc_r2_v1.0.1	male
HG04160	HG04160_pat_hprc_r2_v1.0.1	HG04160_mat_hprc_r2_v1.0.1	male
HG04184	HG04184_pat_hprc_r2_v1.0.1	HG04184_mat_hprc_r2_v1.0.1	female
HG04187	HG04187_pat_hprc_r2_v1.0.1	HG04187_mat_hprc_r2_v1.0.1	male
HG04199	HG04199_pat_hprc_r2_v1.0.1	HG04199_mat_hprc_r2_v1.0.1	male
HG04204	HG04204_pat_hprc_r2_v1.0.1	HG04204_mat_hprc_r2_v1.0.1	male
HG04228	HG04228_pat_hprc_r2_v1.0.1	HG04228_mat_hprc_r2_v1.0.1	male
HG06807	HG06807_pat_v1	HG06807_mat_v1	male
NA18505	NA18505_hap1_hprc_r2_v1.0.1	NA18505_hap2_hprc_r2_v1.0.1	female
NA18508	NA18508_hap1_hprc_r2_v1.0.1	NA18508_hap2_hprc_r2_v1.0.1	female
NA18522	NA18522_hap1_hprc_r2_v1.0.1	NA18522_hap2_hprc_r2_v1.0.1	male
NA18565	NA18565_hap1_hprc_r2_v1.0.1	NA18565_hap2_hprc_r2_v1.0.1	female
NA18570	NA18570_hap1_hprc_r2_v1.0.1	NA18570_hap2_hprc_r2_v1.0.1	female
NA18608	NA18608_hap1_hprc_r2_v1.0.1	NA18608_hap2_hprc_r2_v1.0.1	male
NA18620	NA18620_hap1_hprc_r2_v1.0.1	NA18620_hap2_hprc_r2_v1.0.1	male
NA18747	NA18747_hap1_hprc_r2_v1.0.1	NA18747_hap2_hprc_r2_v1.0.1	male
NA18879	NA18879_hap1_hprc_r2_v1.0.1	NA18879_hap2_hprc_r2_v1.0.1	male
NA18906	NA18906_pat_hprc_r2_v1.0.1	NA18906_mat_hprc_r2_v1.0.1	female
NA18940	NA18940_hap1_hprc_r2_v1.0.1	NA18940_hap2_hprc_r2_v1.0.1	male
